UserScreenName,UserName,Timestamp,Text,Embedded_text,Comments,Likes,Retweets,Date,text_length,Embedded_text_cleaned
Davivienda Corredores,@davicorredores,2021-12-16 15:55:16+00:00,"Davivienda Corredores
@davicorredores
·
16 dic.","Terpel, el emisor de mayor retorno por dividendo del MSCI Colcap, según el Libro 2022 de Davivienda vía:https://redex-yulder.com/terpel-el-emisor-de-mayor-retorno-por-dividendo-del-msci-colcap-segun-el-libro-2022-de-davivienda/… 

Lea el informe completo de El Libro 2022 #LaEconomíaDeTodos aquí:  https://bit.ly/cap3li
1
4
11",1,4,11,2021-12-16,326,terpel emisor retorno dividendo msci colcap libro 2022 informe completo libro 2022 laeconomíadeto
Carlos Eduardo Noguera,@CNOGUERA20,2021-12-16 01:19:43+00:00,"Carlos Eduardo Noguera
@CNOGUERA20
·
15 dic.","Si en las próximas horas lo le dan solución al problema de mi hermano que es discapacitado radicare una queja ante 
@SFCsupervisor
 @Davivienda
 @DaviPlata
 por qué es discapacitado a el no le dan solución es triste y doloroso tener que rogarles",0,0,0,2021-12-16,245,hora solución problema hermano discapacitado radicar quejar sfcsupervisor daviplata discapacitado solución triste doloroso rogar
NANCY LEMUS,@n_lemus,2021-12-16 18:14:45+00:00,"NANCY LEMUS
@n_lemus
·
16 dic.","Quiero denunciar que realice tramite de retiro de dinero en cajero 
@Davivienda
 la plata nunca salio del cajero y después de 8 días aun no responden 
@SFCsupervisor
 el banco vulnera mis derechos apesar de que llevo 15 años con ellos y quien me ayuda
1",1,0,0,2021-12-16,253,querer denunciar tramitir retiro dinero cajero plata salir cajero sfcsupervisor vulnerar derecho apesar año ayudar
Carlos Eduardo Noguera,@CNOGUERA20,2021-12-16 01:00:21+00:00,"Carlos Eduardo Noguera
@CNOGUERA20
·
15 dic.","No se por que 
@Davivienda
 @DaviPlata
 uno tiene que rogarle para que le den solución a las personas mi hermano es discapacitado no ha podido retirar su dinero tiene daviplata inválido 
@SFCsupervisor
  el lleva más de 5 radicados y nada de solucion",0,0,0,2021-12-16,250,daviplata rogar solución persona hermano discapacitado retirar dinero daviplata inválido sfcsupervisor radicado solucion
alfonso,@fonsiparra,2021-12-16 20:55:32+00:00,"alfonso
@fonsiparra
·
16 dic.","Definitivamente 
@Davivienda
 es pésimo. Cada día peor. Nadie sabe nada en esos call center, la atención personalizada es nula.",0,0,0,2021-12-16,127,definitivamente pésimo call center atención personalizado nulo
𝓒𝓪𝓻𝓸𝓵𝓲𝓷𝓪,@rubiapsicologa,2021-12-16 16:21:15+00:00,"𝓒𝓪𝓻𝓸𝓵𝓲𝓷𝓪
@rubiapsicologa
·
16 dic.","Siempre que voy a las oficinas de 
@Davivienda
 salgo con migraña, no sólo por lo demorados en los trámites, también por las luces del establecimiento.
1",1,0,0,2021-12-16,153,oficina salir migraña demorado trámite luz establecimiento
Eddy Bernal,@AminDiazMorales,2021-12-16 21:29:10+00:00,"Eddy Bernal
@AminDiazMorales
·
16 dic.","Se están robando la plata de 
@DaviPlata
 que pasa 
@Davivienda
  esto ya es recurrente y nadie responde 
@sicsuper
 ?????????
3",3,0,0,2021-12-16,128,robar plata daviplato pasar recurrente sicsuper
Paola,@PaolaAndre86,2021-12-16 00:07:15+00:00,"Paola
@PaolaAndre86
·
15 dic.","Los de 
@Davivienda
 bloquean mis cuentas sin motivo alguno, no tengo acceso con tarjeta ni con aplicación. Llama uno y lo dejan esperando. Es increíble esta vaina.
1
1",1,1,0,2021-12-16,168,bloquear motivo acceso tarjeta aplicación llamar dejar esperar increíble vaina
Carlos Eduardo Noguera,@CNOGUERA20,2021-12-16 01:08:00+00:00,"Carlos Eduardo Noguera
@CNOGUERA20
·
15 dic.","Señores 
@SFCsupervisor
 como es posible que 
@Davivienda
 @DaviPlata
  no le ha dado solución a mi hermano que es discapacitado no sabe manejar redes sociales ni WhatsApp y tiene el daviplata bloqueado inválido el nesecita solución no más radicados
1",1,0,0,2021-12-16,251,señor sfcsupervisor daviplato solución hermano discapacitado manejar red social whatsapp daviplata bloqueado inválido nesecitar solución radicado
Trafico en Tegus,@TRAFICOENTEGUS,2021-12-16 23:11:14+00:00,"Trafico en Tegus
@TRAFICOENTEGUS
·
16 dic.","December 16, 2021 at 05:09PM.  MovilidadTGU.#PrecaucionVial Vehículo averiado en blvd suyapa a la altura de banco Davivienda, tráfico lento en ambos carriles 
@TRAFICOENTEGUS
1",0,0,1,2021-12-16,176,december 2021 09pm movilidadtgu precaucionvial vehículo averiar blvd suyapa altura tráfico lento carril traficoentegus
Carlos Eduardo Noguera,@CNOGUERA20,2021-12-16 04:20:51+00:00,"Carlos Eduardo Noguera
@CNOGUERA20
·
15 dic.","Señores 
@Davivienda
 @DaviPlata
 no Sean desalmados mi hermano nadie lo ha llamado para darle solución el se llama Miller noguera 87941728 teléfono 3233223774 el nesecita solucion 
@SFCsupervisor
  ustedes están abusando de la gente con mentiras
2",2,0,0,2021-12-16,248,señor daviplata desalmado hermano llamado solución llamar miller noguera 87941728 teléfono 3233223774 nesecitar solucion sfcsupervisor abusar gente mentira
Juan. Manuel,@Juanma7725,2021-12-16 13:41:25+00:00,"Juan. Manuel
@Juanma7725
·
16 dic.","En respuesta a 
@NoticiasRCN
Sería bueno 
@NoticiasRCN
 ya q investiga y da noticias sobre meta supiera lo q sucede con la.compañia 
@binance
 socio comercial de 
@Davivienda
 en un piloto de criptómonedas y q tiene secuestrado los fondos a más de 500 colombianos.
1
2
2",1,2,2,2021-12-16,270,noticiasrcn noticiasrcn investigar noticia meta suceder compañia binance socio comercial piloto criptómonedo secuestrado fondo colombiano
Melissa ceballos,@Melissaceball,2021-12-16 16:49:37+00:00,"Melissa ceballos
@Melissaceball
·
16 dic.","Hace una semana un cajero multiservicios de 
@Davivienda
  en Valledupar , se me trabo un dinero que estaba intentando consignar y al día de hoy no recibo respuesta sobre la devolución, pésima atención por parte de su directora administrativa.
1",1,0,0,2021-12-16,245,semana cajero multiservicio valledupar trabar dinero intentar consignar recibo devolución pésimo atención director administrativo
Davivienda Corredores,@davicorredores,2021-12-16 20:34:08+00:00,"Davivienda Corredores
@davicorredores
·
16 dic.","#PsicologíaDelInversor Normalmente los consumidores pensamos que el primer producto es más saludable que el segundo, a pesar de que los dos tienen el mismo porcentaje de grasa. +
1
7",1,0,7,2021-12-16,182,psicologíadelinversor normalmente consumidor pensar producto saludable porcentaje grasa
Johan Andrés González Motta,@johangon_19,2021-12-16 15:26:03+00:00,"Johan Andrés González Motta
@johangon_19
·
16 dic.","En respuesta a 
@carlos60285427
 y 
@Bancolombia
Es el banco con más arandelas de Colombia, cobran por todo!!

Les recomiendo mejor 
@Davivienda
1
2",1,0,2,2021-12-16,148,carlos60285427 bancolombia arandela colombio cobrar recomer
ANDRO1711,@ANDRO1711,2021-12-16 19:37:57+00:00,"ANDRO1711
@ANDRO1711
·
16 dic.","El nuevo negocio del expresidente de Davivienda que les da millones de dólares a muchos https://pulzo.com/nacion/davivienda-efrain-forero-tiene-nuevo-negocio-aguacates-hass-PP1113393… a través de 
@Pulzo
pulzo.com
El nuevo negocio del expresidente de Davivienda que les da millones de dólares a muchos - Pulzo
Efraín Forero, expresidente de esa entidad, precisó que volverá a los negocios del campo junto a su familia, incursionando en ganadería y agricultura. - Pulzo",0,0,0,2021-12-16,468,negocio expresidente millón dólar pulzo pulzo negocio expresidente millón dólar pulzo efraín forero expresidente entidad precisar volver negocio campo familia incursionar ganadería agricultura pulzo
Juan. Manuel,@Juanma7725,2021-12-16 15:37:42+00:00,"Juan. Manuel
@Juanma7725
·
16 dic.","Respondiendo a 
@LuisFer45684347
 @Edimejia1979
 y 3 más
Yo también tengo mi patrimonio secuestrado por 
@binance
 @BinanceHelpDesk
  los cuales no me dan una solución a este problema y siento q ya mis fondos fueron estafados por ellos
1
2",0,1,2,2021-12-16,239,luisfer45684347 edimejia1979 patrimonio secuestrado binance binancehelpdesk solución problema sentir fondo estafar
Fundación Bolívar Davivienda,@FundacionBD,2021-12-16 18:01:32+00:00,"Fundación Bolívar Davivienda
@FundacionBD
·
16 dic.","Desde nuestro programa #InversiónSocial, creemos que apoyar a proyectos de #DesarrolloEconómico, es transformar la realidad de los territorios, contribuyendo a la inclusión social y productiva de mujeres y jóvenes. 

¿Cómo aporta usted al desarrollo de económico del país?
2",0,0,2,2021-12-16,274,programa inversiónsocial creer apoyar proyecto desarrolloeconómico transformar realidad territorio contribuir inclusión social productivo mujer joven aportar desarrollo económico país
Davivienda Corredores,@davicorredores,2021-12-16 18:03:14+00:00,"Davivienda Corredores
@davicorredores
·
16 dic.","Aún no es demasiado tarde para llamar a sus seres queridos, recuerde que esa siempre debe ser su inversión más importante.
2
3",0,2,3,2021-12-16,126,llamar querido recordar deber inversión importante
Nicolay A. Vargas V.,@8573BD0BCF,2021-12-16 03:48:05+00:00,"Nicolay A. Vargas V.
@8573BD0BCF
·
15 dic.","Respondiendo a 
@An4cR0s
 @MONYRODRIGUEZOF
 y 2 más
Estimad@s, la super financiera tampoco hará nada, solo le golpea a la puerta a Daviplata para que respondan y mas na'. Tu dinero está en el lugar equivocado.
1",0,0,1,2021-12-16,211,an4cr0s monyrodriguezof estimad super financiero golpear puerta daviplato dinero lugar equivocado
Trafico en Tegus,@TRAFICOENTEGUS,2021-12-16 23:16:05+00:00,"Trafico en Tegus
@TRAFICOENTEGUS
·
16 dic.","December 16, 2021 at 05:11PM.  TRAFICOENTEGUS.December 16, 2021 at 05:09PM.  MovilidadTGU.#PrecaucionVial Vehículo averiado en blvd suyapa a la altura de banco Davivienda, tráfico lento en ambos carriles 
@TRAFICOENTEGUS
1",1,0,0,2021-12-16,222,december 2021 11pm traficoentegus december 2021 09pm movilidadtgu precaucionvial vehículo averiar blvd suyapa altura tráfico lento carril traficoentegus
Constanza Collazos,@collazos60,2021-12-16 02:28:11+00:00,"Constanza Collazos
@collazos60
·
15 dic.","En respuesta a 
@Marianiniecheve
 @SegurosBolivar
 y 
@Davivienda
Las cuentas en Davivienda no son seguras",0,0,0,2021-12-16,106,marianiniecheve segurosbolivar seguro
Linda Pinzon,@LinPinzon,2021-12-16 19:18:58+00:00,"Linda Pinzon
@LinPinzon
·
16 dic.","En respuesta a 
@Karlaarcila
 y 
@Davivienda
Según me informaron de Davivienda, el problema no es con el banco sino con la franquicia, a mí no me funcionó por ser maestro, Davivienda está haciendo ese cambio de tarjetas.
1",0,0,1,2021-12-16,222,karlaarcila informar problema franquicia funcionar maestro cambio tarjeta
Juan C Bateca D,@BatecaD,2021-12-16 14:24:02+00:00,"Juan C Bateca D
@BatecaD
·
16 dic.","Respondiendo a 
@melidardila
 @Marianiniecheve
 y 2 más
@FiscaliaCol
 @SFCsupervisor
  Ustedes son Cómplices de estas Captación Ilegal, archivan los Casos.
1",0,0,1,2021-12-16,157,melidardila marianiniecheve fiscaliacol sfcsupervisor cómplice captación ilegal archivar caso
6uiIIe B,@G__________B,2021-12-16 13:19:09+00:00,"6uiIIe B
@G__________B
·
16 dic.","En respuesta a 
@ML_Ayuda
Gracias, la idea es acceder al cupón de navidad con MC. Todos los pagos se rechazaron, pero no por mi banco, ya que opero con esta tarjeta en otros sitios sin problema. Como lo indiqué, al parecer, el problema es con tarjetas MC de Davivienda en ML Col. #Soloquierocomprar!
1",1,0,0,2021-12-16,301,ml_ayuda gracias idea acceder cupón navidad pago rechazar operar tarjeta sitio problema indicar parecer problema tarjeta soloquierocomprar
edwinzz,@eddwinzz,2021-12-16 21:14:39+00:00,"edwinzz
@eddwinzz
·
16 dic.","En respuesta a 
@Davivienda
Ya les escribí, vamos a ver si me responden y me solucionan el problema ",0,0,0,2021-12-16,100,escribir solucionar problema
Johana Muñoz,@JohanaM00425654,2021-12-16 18:52:23+00:00,"Johana Muñoz
@JohanaM00425654
·
16 dic.","En respuesta a 
@Davivienda
 y 
@Sago2022
Si esta caída ! No abre ni en Mozilla ni en explorer
2",2,0,0,2021-12-16,96,sago2022 caída abrir mozilla explorer
Marketing PolitiCol,@AgenciaMorris,2021-12-16 16:07:39+00:00,"Marketing PolitiCol
@AgenciaMorris
·
16 dic.","En respuesta a 
@angelamrobledo
 y 
@JenniferAriasF
Ahora incluyo esta pendejada “homofóbica” … ya no se sabe qué pensar o qué línea de pensamiento social representa esta señora 
@angelamrobledo
 A veces se siente que esta como DAVIVIENDA… en el lugar equivocado.
2",2,0,0,2021-12-16,265,angelamrobledo jenniferariasf incluir pendejada homofóbico pensar línea pensamiento social representar señora angelamrobledo sentir lugar equivocado
Edison Mejia,@Edimejia1979,2021-12-16 14:31:53+00:00,"Edison Mejia
@Edimejia1979
·
16 dic.","En respuesta a 
@NoticiasRCN
Debería investigar y hacer público lo que está pasando con más de 500 Colombianos a los que 
@binance
 les congeló sus cuentas de manera ilegal. Este último está en Colombia en el piloto de criptomonedas junto a 
@Davivienda
 atentos señores 
@NoticiasRCN
2
2
5",2,2,5,2021-12-16,290,noticiasrcn deber investigar público pasar colombiano binance congelar ilegal colombio piloto criptomonedo atento señor noticiasrcn
Yara Saavedra,@YaraSaavedra13,2021-12-16 15:16:49+00:00,"Yara Saavedra
@YaraSaavedra13
·
16 dic.","En respuesta a 
@Karlaarcila
 y 
@Davivienda
En Colombia tampoco sirven, y los asesores no ayudan para nada",0,0,0,2021-12-16,107,karlaarcila colombio servir asesor ayudar
Karen,@Karen67729611,2021-12-16 12:27:36+00:00,"Karen
@Karen67729611
·
16 dic.","En respuesta a 
@GutierrezLuis_
 @Davivienda
 y 
@DaviPlata
Ese dinero no se pierde , les digo porque también me pasó y pase el susto de mi vida  cuando se pide el codigo inmediatamente el dinero se desaparece tiene que esperar una hora aproximadamente para que retorne el dinero. Nuevamente@gutierrezluis",0,0,0,2021-12-16,305,gutierrezluis_ daviplata dinero perder pasar pasar susto vida pedir codigo inmediatamente dinero desaparecer esperar hora retornar dinero nuevamente gutierrezluis
Elizabeth Carrillo,@Elizabe18211242,2021-12-16 15:26:09+00:00,"Elizabeth Carrillo
@Elizabe18211242
·
16 dic.","En respuesta a 
@Davivienda
Hola buen día, por favor necesito comunicarme con ustedes, es totalmente imposible,  ni telefónica ni correo,, muy bonita la página, pero inoperante.
1",1,0,0,2021-12-16,179,favor necesitar comunicar totalmente imposible telefónico correo bonito página inoperante
cachaco maluco,@Rabm01847277,2021-12-16 05:52:29+00:00,"cachaco maluco
@Rabm01847277
·
16 dic.","En respuesta a 
@Karlaarcila
 y 
@Davivienda
Davivienda no tiene asesoría al cliente. nunca tiene idea de nada y no resuelven nada",0,0,0,2021-12-16,130,karlaarcila asesoría cliente idea resolver
gjmercado,@gmercado2,2021-12-16 12:09:06+00:00,"gjmercado
@gmercado2
·
16 dic.","En respuesta a 
@Marianiniecheve
 @SegurosBolivar
 y 
@Davivienda
El grupo AvAL también lo hace con AV VILLAS",0,0,0,2021-12-16,109,marianiniecheve segurosbolivar grupo aval villa
Un tal totatola,@totatola1506,2021-12-16 19:43:52+00:00,"Un tal totatola
@totatola1506
·
16 dic.","En respuesta a 
@Davivienda
Por favor responderme el interno que necesito que me resuelvan el caso por favor.",0,0,0,2021-12-16,109,favor interno necesitar resolver caso favor
Johan Andrés González Motta,@johangon_19,2021-12-16 17:52:31+00:00,"Johan Andrés González Motta
@johangon_19
·
16 dic.","Respondiendo a 
@SoyCaste
 @carlos60285427
 y 2 más
Entonces definitivamente #EstamosJodidos ",0,0,0,2021-12-16,93,soycaste carlos60285427 definitivamente estamosjodido
Elizabeth Carrillo,@Elizabe18211242,2021-12-16 17:55:37+00:00,"Elizabeth Carrillo
@Elizabe18211242
·
16 dic.","En respuesta a 
@Davivienda
Gracias por responder, no obstante no se brindó ninguna solución los canales de contacto d ustedes nadie responde y a usted cómo funcionaría aparte de darme un teléfono que nadie contesta no me brindó un correo electrónico para comentar mi necesidad (de corredores bolsa)",0,0,0,2021-12-16,299,gracias obstante brindar solución canal contacto funcionar aparte teléfono contestar brindar correo electrónico comentar necesidad corredor bolsa
Gómez Sofi,@SoffiGmez1,2021-12-16 21:30:44+00:00,"Gómez Sofi
@SoffiGmez1
·
16 dic.","En respuesta a 
@JovenesAccionCo
 y 
@ProsperidadCol
Si me aparece que la modalidad es en giro y en el banco Davivienda, puedo cobrar en cualquier banco, o solo en el municipio en el que me aparece el pago?
5
1",5,0,1,2021-12-16,210,jovenesaccionco prosperidadcol aparecer modalidad giro cobrar cualquiera municipio aparecer pago
El Realista,@ElRealistacolon,2021-12-16 03:59:23+00:00,"El Realista
@ElRealistacolon
·
15 dic.","En respuesta a 
@Marianiniecheve
 @SegurosBolivar
 y 
@Davivienda
Con 
@Davivienda
 su dinero está en el lugar equivocado jajajajaja",0,0,0,2021-12-16,132,marianiniecheve segurosbolivar davivirdar dinero lugar equivocado jajajajajo
Gimo 1976,@Alejand53899417,2021-12-16 10:54:59+00:00,"Gimo 1976
@Alejand53899417
·
16 dic.","En respuesta a 
@Karlaarcila
 y 
@Davivienda
Estás en el lugar equivocado",0,0,0,2021-12-16,73,karlaarcila lugar equivocado
margarita mejia,@margari99552800,2021-12-16 01:49:33+00:00,"margarita mejia
@margari99552800
·
15 dic.","Respondiendo a 
@carlitosecheve
 @Marianiniecheve
 y 2 más
Que ignorancia!",0,0,0,2021-12-16,74,carlitosecheve marianiniecheve ignorancia
Nelson Camargo,@noslenshoesk,2021-12-16 19:28:46+00:00,"Nelson Camargo
@noslenshoesk
·
16 dic.","@Davivienda
 ni para pagarles sirve la página, que tristesa este sistema financiero.
1",1,0,0,2021-12-16,86,pagar servir página tristés sistema financiero
edwinzz,@eddwinzz,2021-12-16 21:04:08+00:00,"edwinzz
@eddwinzz
·
16 dic.","En respuesta a 
@Davivienda
Hice una transferencia a una cuenta de ahorros en Davivienda para poder pagar un crédito de la misma entidad y tras de que no me deja el sistema pagar desde la cuenta de ahorro, veo con sorpresa que me quitaron 9000 pesos de la transferencia que hice desde otra entidad. Ladrones
1",1,0,0,2021-12-16,309,transferencia contar ahorro pagar crédito entidad dejar sistema pagar ahorro sorpresa quitar 9000 peso transferencia entidad ladrón
