UserScreenName,UserName,Timestamp,Text,Embedded_text,Comments,Likes,Retweets,text_length,Embedded_text_cleaned
Jorge Cruz,@JorgeACruzR,2021-12-07 17:58:20+00:00,"Jorge Cruz
@JorgeACruzR
·
7 dic.","7 días después sigo sin una atención por parte de 
@Davivienda
, por ningún medio es posible comunicarme con el area de compras, tanta llamadera para adquirir una tarjeta con ustedes y después que la adquiero no responden por ningún medio
1",1,0,0,240,  seguir    atención         comunicarmir    area   compra tanto llamadera adquirir   tarjeta        adquiero   responder  
Mario Barrios,@sr_mario,2021-12-07 23:00:47+00:00,"Mario Barrios
@sr_mario
·
7 dic.","Respondiendo a 
@Elambidiestro2
 @pascuteboy
 y 2 más
Si, tengo que tener plata en algo virtual, sobre todo en pandemia que el efectivo no es recomendable.

el servicio es muy bueno, deben ser mas constantes con el funcionamiento. 

es la menos peor la verdad, la de davivienda es miedosa, davivienda siempre ha sido nido de ratas
5",0,0,5,332,  elambidiestro2 pascuteboy        plata   virtual   pandemiar    efectivo    recomendable   servicio       constante    funcionamiento           miedoso   nir   rata
JUAN BERNAL,@jsbgm,2021-12-07 02:37:59+00:00,"JUAN BERNAL
@jsbgm
·
6 dic.","En respuesta a 
@itaucol
 @Juank1388
 y 
@Bancolombia
@Davivienda
 esta muy quedado...

Davivienda, Para cuando?",0,0,0,112,    itaucol juank1388   bancolombio   quedar
César Ortega,@DanteValleta,2021-12-07 15:53:14+00:00,"César Ortega
@DanteValleta
·
7 dic.","@Davivienda
 ¿me explicas por qué no me dejas ingresar ni a app, ni a web, ni a hacer transferencias por PSE y porque me andas preguntando huevonadas por SMS?
Es para una tarea.
2",2,0,0,179,    explica      dejar ingresar          transferencia       anda preguntar huevonada       tarea
armando moreno,@amoreno_s,2021-12-07 12:46:41+00:00,"armando moreno
@amoreno_s
·
7 dic.","En respuesta a 
@Davivienda
Lleva 15 días esos hps cajeros dañados y 
@Davivienda
 ni mu! Pagarle el sobrecosto a otros bancos que prestan el servicio y aparte de eso mamarnos las colas y la montonera. Pero en la propaganda que son los mejores, si para no prestar el servicio. El descaro sin nombre!
1",1,0,0,301,        cajero dañado      pagar él   sobrecosto   banco   prestar   servicio   aparte    mamarno   colos    montonero    propaganda     mejor     prestar   servicio   descaro   nombre
Mar López,@MarthaC06003113,2021-12-07 01:52:11+00:00,"Mar López
@MarthaC06003113
·
6 dic.","En respuesta a 
@Cristia56444419
 @monvelt
 y 
@MafeCarrascal
Esa opinión responde a la ignorancia de cómo funciona un contrato de fiducia y mutuo. Ahora, hay otros bancos como Davivienda, Bancolombia, scotian bank. Para diversificar la banca han llegado neobancos y de las criptomonedas hay plataformas de pago. Algo más?",0,0,0,322,    cristia56444419 monvelt   mafecarrascal   opinión responder    ignoranciar   funcionar   contrato   fiducia   mutuo   banco bancolombia scotian bank diversificar   banca   llegar neobanco     criptomoneda   plataforma   pagar  
Davivienda Corredores,@davicorredores,2021-12-07 13:28:33+00:00,"Davivienda Corredores
@davicorredores
·
7 dic.","Respondiendo a 
@NicolasTovarZ
 @Davivienda
 y 2 más
Hola, 
@NicolasTovarZ
 gracias por su comentario. Nuestro contenido es abierto y usted puede compartirlo libremente. 

Estamos para hacer su vida más fácil. Feliz día 
2",0,0,2,222,  nicolastovarz     nicolastovarz gracias    comentario contenido   abierto   compartir él libremente   vida   fácil feliz  
Diego Caicedo,@DIEGOFDOCAICEDO,2021-12-07 11:33:22+00:00,"Diego Caicedo
@DIEGOFDOCAICEDO
·
7 dic.","En respuesta a 
@Davivienda
Ya les estoy escribiendo.  Espero por favor cumplan lo prometido en su campaña ya que se cumplió con todo para el premio del debitazo 
@SFCsupervisor",0,0,0,177,       escribir esperar   favor cumplir   prometido    campaña     cumplir     premio   debitazo sfcsupervisor
Albert con T,@AleddGz,2021-12-07 18:41:57+00:00,"Albert con T
@AleddGz
·
7 dic.","Respondiendo a 
@_JennMa_
 @DemJessenia
 y 3 más
Dudo mucho q mi mamá se quiera acercar a ese banco, máxime q al dejar de usar sus servicios empezó a usar los de Davivienda, hasta hoy, no ha tenido ningún problema y las cajeras la han atendido siempre con gran amabilidad, incluso, cuando yo voy, siempre me preguntan por ella!",0,0,0,327,  jennma demjesseniar     dudar    mamá   querer acercar    máxime    dejar     servicio empezar          problema    cajera    atender   amabilidad      preguntar  
Malú Bode H.,@MaluBodeH,2021-12-07 15:36:21+00:00,"Malú Bode H.
@MaluBodeH
·
7 dic.","En respuesta a 
@andreincolombia
si, cobran comisión y se demora un poco (pero es normal de todas las transferencias entre bancos).

Mi recomendación (y aunque es más largar) es recargar nequi desde pse con davivienda y ahí si transferir a bancolombia, es de una y no cobran",0,0,0,274,    andreincolombio   cobrar comisión    demora     normal     transferencia banco   recomendación      largar   recargar nequi        transferir   bancolombiar       cobrar
Ana María,@ammangel,2021-12-07 16:03:33+00:00,"Ana María
@ammangel
·
7 dic.","@Davivienda
 Acá yo tratando de ingresar al portal, por la app y hasta llamando al teléfono rojo y no ha habido poder humano para hacer la consulta. Yo sé que mañana es puente y todo, pero aiuda
1",1,0,0,196,     tratar   ingresar   portal      llamar   teléfono rojo     haber humano   consulta     mañana   puente   aiudar
Juan Carlos Solís C,@JCS_Sports,2021-12-07 20:26:07+00:00,"Juan Carlos Solís C
@JCS_Sports
·
7 dic.","@Davivienda
 hace meses cancelé mi cuenta x la ineficiencia en las sucursales y pensé no tener q regresar a pasar malos ratos allí.
Cuál es mi sorpresa, q tuve q consignar, y me rebotaron en la agencia, luego d más d 20 mins en fila xq NO SE PUEDE CONSIGNAR EN EL BANCO, INCREÍBLE
2",2,0,0,282,  mes cancelé      ineficiencia    sucursal   pensar     regresar   pasar malo rato    sorpresa   tener   consignar    rebotar    agencia      mins   fila     consignar    increíble
Ana Noguera,@AnaNoguera,2021-12-07 18:29:46+00:00,"Ana Noguera
@AnaNoguera
·
7 dic.","En respuesta a 
@readloverspcj
 y 
@Davivienda
La app me ha funcionado bien. Me parece que es la página la que tiene problemas.",0,0,0,127,    readloverspcj        funcionado       página    problema
JP,@JuanPSeguraR,2021-12-07 11:29:52+00:00,"JP
@JuanPSeguraR
·
7 dic.","Respondiendo a 
@DaveMendezL
 @DavidPaz_09
 y 2 más
Pues tienen muchos gaps, el usuario aún es la cédula, no tienen Face ID, no se puede apagar la tarjeta, ahora bien entendería que Apple es quien avala si el Wallet es compatible o no.. así que una leve pista. Rappi en un twitt mencionó enero 
1",0,0,1,296,  davemendezl davidpaz_09     gaps   usuario     cédula   facir     apagar   tarjeta entender   apple   avalar    wallet   compatible       leve pista rappi    twitt enero
Jennifer A Cardenas,@JennyA_C,2021-12-07 17:22:21+00:00,"Jennifer A Cardenas
@JennyA_C
·
7 dic.","En respuesta a 
@Pinnktomatte
 y 
@DaviPlata
Esta fallando los aplicativos de davivienda la última semana, solo medio me funciona es con los datos porque con wifi nunca entró.
1",1,0,0,177,    pinnktomattir   daviplata fallar   aplicativo     semana   funcionar     dato   wifi entrar
Diego Caicedo,@DIEGOFDOCAICEDO,2021-12-07 12:02:51+00:00,"Diego Caicedo
@DIEGOFDOCAICEDO
·
7 dic.","En respuesta a 
@GuinandSandra
 @Davivienda
 y 
@SFCsupervisor
Así son ! Se comprometen a pagar unos premios y no los pagan.  Publicidad engañosa para sus clientes ! Cumplan !!! 
@SFCsupervisor",0,0,0,193,    guinandsandra   sfcsupervisor     comprometer   pagar premio     pagar publicidad engañoso   cliente cumplir sfcsupervisor
Pipe Páez Ads-n-Rock,@PipePaezAdsRock,2021-12-07 23:03:36+00:00,"Pipe Páez Ads-n-Rock
@PipePaezAdsRock
·
7 dic.","@DaviPlata
 es la peor de las aplicaciones de dinero virtual, NADIE RESPONDE, 
@Davivienda
 dice que No es con ellos. Los asesores que responden dam excusas chimbas. Y ahora salen con el cuento que la plata se perdió. Y que demande a NN por suplantación ante 
@FiscaliaCol
2
1",2,0,1,276,  daviplatar       aplicación   dinero virtual responder        asesor   responder   excusa chimba   salir    cuento    plata   perder    demandar     suplantación fiscaliacol  
Omar Ruiz,@OmarRuizSAI,2021-12-07 22:11:03+00:00,"Omar Ruiz
@OmarRuizSAI
·
7 dic.","@Davivienda
 ¿Cuál es su sustento jurídico para coartar a los usuarios su derecho constitucional para limitar a recibir UN solo derecho de petición por cliente y NO recibir un segundo hasta ustedes no responder el anterior? 
@SFCsupervisor
 @davidbarguil
 @DefensoriaCol
1",1,0,0,272,     sustento jurídico coartar    usuario   derecho constitucional limitar   recibir   derecho   petición   cliente    recibir     responder   sfcsupervisor davidbarguil defensoriacol
Oveja de Pesebre.,@ElDespelucao,2021-12-07 14:47:39+00:00,"Oveja de Pesebre.
@ElDespelucao
·
7 dic.","En respuesta a 
@andreincolombia
No pero lo que hago es pasarle a mi novia a DaviPlata y desde ahí ella consigna a davivienda. Si aún no debes presentar Declaración te recomiendo esto y no lo que algunos sugirieron aquí mismo que es pasarte de un lado a otro entre tus cuentas. La DIAN vigila.",0,0,0,293,    andreincolombio        pasar él    novia   daviplata     consignar       deber presentar declaración   recomeir      sugerir    pasar tú        cuenta   diar vigila
Dinero.com.sv,@dinerocomsv,2021-12-07 00:08:08+00:00,"Dinero.com.sv
@dinerocomsv
·
6 dic.","#Empresarial 
@Davivienda
 invita a los salvadoreños a disfrutar con alegría y optimismo esta época, con una decoración especial de casi 3 kilómetros que componen el Paseo General Escalón 
Léalo completo: https://bit.ly/3owIx4V

#Alegría #Decoración #Dinerocomsv #ElSalvador
dinero.com.sv
Dinero.com.sv - Davivienda enciende la navidad con alegría y optimismo
Davivienda vuelve a celebrar a lo grande la Navidad invitando a los salvadoreños a disfrutar con alegría y optimismo esta época, con una decoración especial que ha preparado en casi 3 kilómetros que...
3",0,0,3,563,  empresarial invito    salvadoreño   disfrutar   alegría   optimismo época    decoración especial     kilómetro   componer   paseo general escalón léalo completo alegría decoración dinerocomsv elsalvador dinero    dinero    enciende   navidad   alegría   optimismo vuelve   celebrar      navidad invitar    salvadoreño   disfrutar   alegría   optimismo época    decoración especial    preparado     kilómetro  
